session,frame_file,frame_index,video_time_s,frame_abs_ms,lat,lon,altitude,speed,bearing,horizontalAccuracy,in_gps_range
2622_Farwell_Ave-2026-03-14_16-40-32,2622_Farwell_00015.jpg,15,16.969377718597425,1773506449344.3777,34.106223071356915,-118.25986995981717,94.51450952760965,1.0499999523162695,5.39462384920212,3.9660069465955825,True
2622_Farwell_Ave-2026-03-14_16-40-32,2622_Farwell_00016.jpg,16,17.96953750554816,1773506450344.5376,34.10623342390459,-118.25986921812742,94.57694491217671,1.053448548080069,5.503760803470941,4.192535982507015,True
2622_Farwell_Ave-2026-03-14_16-40-32,2622_Farwell_00017.jpg,17,18.969697292498893,1773506451344.6973,34.106245911613584,-118.25986797952314,94.73120134798636,1.1324530654150888,5.273438132507344,4.412534443509615,True
2622_Farwell_Ave-2026-03-14_16-40-32,2622_Farwell_00018.jpg,18,19.969857079449625,1773506452344.8572,34.10626019465655,-118.259868074545,94.90969491150864,1.2147731959577326,5.27343817848712,4.748651530191781,True
2622_Farwell_Ave-2026-03-14_16-40-32,2622_Farwell_00019.jpg,19,20.970016866400357,1773506453345.0168,34.106270226398145,-118.2598686218452,95.08438056292268,1.1100000143050976,127.03937652184273,4.748651530191777,True
2622_Farwell_Ave-2026-03-14_16-40-32,2622_Farwell_00020.jpg,20,21.97017665335109,1773506454345.1768,34.10628039196117,-118.25987066479388,95.25766451142836,1.082362016177574,358.01208075246615,4.748651530191776,True
2622_Farwell_Ave-2026-03-14_16-40-32,2622_Farwell_00021.jpg,21,22.97033644030182,1773506455345.3364,34.10628968788544,-118.25987173846812,95.53133813867152,1.0299999713897567,358.12067704220914,4.748651530191775,True
2622_Farwell_Ave-2026-03-14_16-40-32,2622_Farwell_00022.jpg,22,23.970496227252553,1773506456345.4963,34.10629897235081,-118.25987319501316,95.801233021851,1.0299999713897567,357.89062476961243,4.748651530191775,True
2622_Farwell_Ave-2026-03-14_16-40-32,2622_Farwell_00023.jpg,23,24.97065601420329,1773506457345.656,34.10630862369404,-118.2598752490015,95.90709122784048,1.0057842225815226,357.8906247750288,4.748651530191775,True
2622_Farwell_Ave-2026-03-14_16-40-32,2622_Farwell_00024.jpg,24,25.970815801154014,1773506458345.816,34.106316928536145,-118.25987683194084,95.8780797947364,0.8596325808912014,357.8906248077196,4.748651530191771,True
2622_Farwell_Ave-2026-03-14_16-40-32,2622_Farwell_00025.jpg,25,26.97097558810475,1773506459345.9756,34.106324243693436,-118.2598776820832,95.88122608909568,0.7115501208424649,357.8906248408423,4.748651530191768,True
2622_Farwell_Ave-2026-03-14_16-40-32,2622_Farwell_00026.jpg,26,27.97113537505548,1773506460346.1353,34.106334498135745,-118.25987764548276,95.87823099741226,0.7900000214576661,357.8906248232948,4.748651530191769,True
2622_Farwell_Ave-2026-03-14_16-40-32,2622_Farwell_00027.jpg,27,28.971295162006214,1773506461346.2952,34.10634643505317,-118.25987651421622,95.89550234998502,0.8558472754361256,235.44234797069893,4.748651530191771,True
